Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,season_code,kickoff_local,besiktas_goals,opponent_goals,total_goals,kickoff_hour,time,temperature_2m,precipitation,rain,wind_speed_10m,rainy_match,heavy_rain_match
2017-01-30,19:00,Besiktas,Konyaspor,5.0,1.0,H,,,,,,,,,,,1617,2017-01-30 19:00:00,5.0,1.0,6.0,2017-01-30 19:00:00,2017-01-30 19:00:00,2.0,0.1,0.1,15.5,1,0
2017-02-19,19:00,Besiktas,Akhisar Belediyespor,3.0,1.0,H,,,,,,,,,,,1617,2017-02-19 19:00:00,3.0,1.0,4.0,2017-02-19 19:00:00,2017-02-19 19:00:00,9.1,0.0,0.0,9.3,0,0
2017-03-04,19:00,Besiktas,Rizespor,1.0,0.0,H,,,,,,,,,,,1617,2017-03-04 19:00:00,1.0,0.0,1.0,2017-03-04 19:00:00,2017-03-04 19:00:00,9.3,0.0,0.0,16.8,0,0
2017-03-12,19:00,Besiktas,Kayserispor,2.0,2.0,D,,,,,,,,,,,1617,2017-03-12 19:00:00,2.0,2.0,4.0,2017-03-12 19:00:00,2017-03-12 19:00:00,7.4,0.0,0.0,22.0,0,0
2017-04-02,19:00,Besiktas,Genclerbirligi,3.0,0.0,H,,,,,,,,,,,1617,2017-04-02 19:00:00,3.0,0.0,3.0,2017-04-02 19:00:00,2017-04-02 19:00:00,9.2,0.0,0.0,19.2,0,0
2017-04-24,19:00,Besiktas,Adanaspor,3.0,2.0,H,,,,,,,,,,,1617,2017-04-24 19:00:00,3.0,2.0,5.0,2017-04-24 19:00:00,2017-04-24 19:00:00,11.8,0.0,0.0,2.7,0,0
2017-05-07,19:00,Besiktas,Fenerbahce,1.0,1.0,D,,,,,,,,,,,1617,2017-05-07 19:00:00,1.0,1.0,2.0,2017-05-07 19:00:00,2017-05-07 19:00:00,18.4,0.2,0.2,6.7,1,0
2017-05-20,19:00,Besiktas,Kasimpasa,4.0,1.0,H,,,,,,,,,,,1617,2017-05-20 19:00:00,4.0,1.0,5.0,2017-05-20 19:00:00,2017-05-20 19:00:00,15.9,0.0,0.0,8.0,0,0
2017-06-03,19:00,Besiktas,Osmanlispor,4.0,0.0,H,,,,,,,,,,,1617,2017-06-03 19:00:00,4.0,0.0,4.0,2017-06-03 19:00:00,2017-06-03 19:00:00,23.1,0.0,0.0,19.1,0,0
2017-08-13,19:00,Besiktas,Antalyaspor,2.0,0.0,H,9.0,6.0,5.0,2.0,23.0,16.0,3.0,4.0,0.0,0.0,1718,2017-08-13 19:00:00,2.0,0.0,2.0,2017-08-13 19:00:00,2017-08-13 19:00:00,26.5,0.0,0.0,13.6,0,0
2017-08-26,19:00,Besiktas,Bursaspor,2.0,1.0,H,11.0,3.0,7.0,2.0,17.0,12.0,2.0,3.0,0.0,0.0,1718,2017-08-26 19:00:00,2.0,1.0,3.0,2017-08-26 19:00:00,2017-08-26 19:00:00,22.8,0.0,0.0,21.1,0,0
2017-09-18,19:00,Besiktas,Konyaspor,2.0,0.0,H,16.0,11.0,9.0,3.0,8.0,12.0,2.0,2.0,0.0,0.0,1718,2017-09-18 19:00:00,2.0,0.0,2.0,2017-09-18 19:00:00,2017-09-18 19:00:00,23.7,0.0,0.0,16.6,0,0
2017-10-01,19:00,Besiktas,Trabzonspor,2.0,2.0,D,9.0,10.0,3.0,7.0,17.0,20.0,4.0,4.0,0.0,0.0,1718,2017-10-01 19:00:00,2.0,2.0,4.0,2017-10-01 19:00:00,2017-10-01 19:00:00,14.9,1.2,1.2,23.2,1,0
2017-10-23,19:00,Besiktas,Buyuksehyr,1.0,1.0,D,13.0,9.0,3.0,5.0,12.0,12.0,5.0,2.0,0.0,0.0,1718,2017-10-23 19:00:00,1.0,1.0,2.0,2017-10-23 19:00:00,2017-10-23 19:00:00,16.1,0.0,0.0,8.5,0,0
2017-11-17,19:00,Besiktas,Akhisar Belediyespor,0.0,0.0,D,14.0,4.0,4.0,3.0,16.0,15.0,4.0,6.0,0.0,1.0,1718,2017-11-17 19:00:00,0.0,0.0,0.0,2017-11-17 19:00:00,2017-11-17 19:00:00,12.5,0.0,0.0,13.0,0,0
2017-12-02,19:00,Besiktas,Galatasaray,3.0,0.0,H,19.0,6.0,9.0,4.0,8.0,18.0,3.0,3.0,0.0,0.0,1718,2017-12-02 19:00:00,3.0,0.0,3.0,2017-12-02 19:00:00,2017-12-02 19:00:00,14.9,0.0,0.0,10.4,0,0
2017-12-17,19:00,Besiktas,Osmanlispor,5.0,1.0,H,18.0,8.0,10.0,4.0,19.0,14.0,1.0,3.0,0.0,0.0,1718,2017-12-17 19:00:00,5.0,1.0,6.0,2017-12-17 19:00:00,2017-12-17 19:00:00,14.4,0.8,0.8,26.9,1,0
2018-01-26,19:00,Besiktas,Kasimpasa,2.0,1.0,H,12.0,9.0,7.0,5.0,18.0,14.0,3.0,2.0,0.0,0.0,1718,2018-01-26 19:00:00,2.0,1.0,3.0,2018-01-26 19:00:00,2018-01-26 19:00:00,2.3,0.0,0.0,12.5,0,0
2018-02-10,19:00,Besiktas,Karabukspor,5.0,0.0,H,20.0,4.0,13.0,1.0,14.0,14.0,3.0,1.0,0.0,0.0,1718,2018-02-10 19:00:00,5.0,0.0,5.0,2018-02-10 19:00:00,2018-02-10 19:00:00,7.9,0.3,0.3,25.7,1,0
2018-02-25,19:00,Besiktas,Fenerbahce,3.0,1.0,H,15.0,7.0,6.0,6.0,15.0,22.0,3.0,2.0,0.0,0.0,1718,2018-02-25 19:00:00,3.0,1.0,4.0,2018-02-25 19:00:00,2018-02-25 19:00:00,4.3,0.0,0.0,22.6,0,0
2018-03-10,19:00,Besiktas,Genclerbirligi,1.0,0.0,H,17.0,5.0,7.0,3.0,13.0,17.0,3.0,2.0,0.0,0.0,1718,2018-03-10 19:00:00,1.0,0.0,1.0,2018-03-10 19:00:00,2018-03-10 19:00:00,7.9,0.0,0.0,4.9,0,0
2018-03-31,19:00,Besiktas,Alanyaspor,1.0,0.0,H,7.0,7.0,2.0,2.0,21.0,17.0,5.0,2.0,0.0,0.0,1718,2018-03-31 19:00:00,1.0,0.0,1.0,2018-03-31 19:00:00,2018-03-31 19:00:00,13.9,0.0,0.0,6.8,0,0
2018-04-07,19:00,Besiktas,Goztep,5.0,1.0,H,17.0,10.0,10.0,7.0,21.0,11.0,1.0,6.0,0.0,1.0,1718,2018-04-07 19:00:00,5.0,1.0,6.0,2018-04-07 19:00:00,2018-04-07 19:00:00,11.5,0.6,0.6,16.8,1,0
2018-04-22,19:00,Besiktas,Yeni Malatyaspor,3.0,1.0,H,19.0,10.0,6.0,5.0,10.0,13.0,0.0,2.0,0.0,0.0,1718,2018-04-22 19:00:00,3.0,1.0,4.0,2018-04-22 19:00:00,2018-04-22 19:00:00,14.9,0.0,0.0,6.2,0,0
2018-05-07,19:00,Besiktas,Kayserispor,2.0,0.0,H,10.0,8.0,7.0,1.0,14.0,11.0,2.0,4.0,1.0,1.0,1718,2018-05-07 19:00:00,2.0,0.0,2.0,2018-05-07 19:00:00,2018-05-07 19:00:00,16.8,0.6,0.6,4.4,1,0
2018-05-19,19:00,Besiktas,Sivasspor,5.0,1.0,H,16.0,6.0,10.0,3.0,16.0,11.0,3.0,4.0,0.0,0.0,1718,2018-05-19 19:00:00,5.0,1.0,6.0,2018-05-19 19:00:00,2018-05-19 19:00:00,21.5,0.0,0.0,17.6,0,0
2018-08-12,19:00,Besiktas,Akhisar Belediyespor,2.0,1.0,H,13.0,8.0,4.0,4.0,17.0,16.0,3.0,6.0,0.0,0.0,1819,2018-08-12 19:00:00,2.0,1.0,3.0,2018-08-12 19:00:00,2018-08-12 19:00:00,25.5,0.0,0.0,20.2,0,0
2018-08-26,19:00,Besiktas,Antalyaspor,2.0,3.0,A,28.0,7.0,10.0,5.0,15.0,19.0,2.0,7.0,0.0,0.0,1819,2018-08-26 19:00:00,2.0,3.0,5.0,2018-08-26 19:00:00,2018-08-26 19:00:00,25.6,0.0,0.0,17.2,0,0
2018-09-15,19:00,Besiktas,Yeni Malatyaspor,2.0,1.0,H,17.0,10.0,6.0,6.0,14.0,15.0,3.0,3.0,1.0,0.0,1819,2018-09-15 19:00:00,2.0,1.0,3.0,2018-09-15 19:00:00,2018-09-15 19:00:00,20.8,0.0,0.0,7.9,0,0
2018-09-29,19:00,Besiktas,Kayserispor,2.0,0.0,H,12.0,9.0,4.0,3.0,10.0,11.0,1.0,0.0,0.0,0.0,1819,2018-09-29 19:00:00,2.0,0.0,2.0,2018-09-29 19:00:00,2018-09-29 19:00:00,18.5,0.0,0.0,7.6,0,0
2018-10-29,19:00,Besiktas,Rizespor,4.0,1.0,H,26.0,5.0,12.0,2.0,12.0,12.0,3.0,2.0,0.0,2.0,1819,2018-10-29 19:00:00,4.0,1.0,5.0,2018-10-29 19:00:00,2018-10-29 19:00:00,17.9,0.0,0.0,3.1,0,0
2018-11-11,19:00,Besiktas,Sivasspor,1.0,2.0,A,9.0,10.0,2.0,3.0,14.0,14.0,4.0,3.0,0.0,0.0,1819,2018-11-11 19:00:00,1.0,2.0,3.0,2018-11-11 19:00:00,2018-11-11 19:00:00,13.9,0.0,0.0,13.8,0,0
2018-12-02,19:00,Besiktas,Galatasaray,1.0,0.0,H,14.0,10.0,5.0,2.0,21.0,14.0,4.0,4.0,0.0,0.0,1819,2018-12-02 19:00:00,1.0,0.0,1.0,2018-12-02 19:00:00,2018-12-02 19:00:00,8.8,0.0,0.0,13.9,0,0
2018-12-16,19:00,Besiktas,Trabzonspor,2.0,2.0,D,18.0,14.0,8.0,7.0,16.0,14.0,3.0,1.0,0.0,0.0,1819,2018-12-16 19:00:00,2.0,2.0,4.0,2018-12-16 19:00:00,2018-12-16 19:00:00,10.8,0.0,0.0,11.9,0,0
2019-01-25,19:00,Besiktas,Erzurum BB,1.0,1.0,D,15.0,10.0,5.0,3.0,15.0,14.0,4.0,4.0,1.0,0.0,1819,2019-01-25 19:00:00,1.0,1.0,2.0,2019-01-25 19:00:00,2019-01-25 19:00:00,12.5,0.0,0.0,17.8,0,0
2019-02-09,19:00,Besiktas,Bursaspor,2.0,0.0,H,11.0,8.0,7.0,3.0,17.0,14.0,1.0,1.0,0.0,0.0,1819,2019-02-09 19:00:00,2.0,0.0,2.0,2019-02-09 19:00:00,2019-02-09 19:00:00,4.4,0.0,0.0,11.5,0,0
2019-02-25,19:00,Besiktas,Fenerbahce,3.0,3.0,D,9.0,17.0,5.0,4.0,22.0,19.0,2.0,4.0,0.0,0.0,1819,2019-02-25 19:00:00,3.0,3.0,6.0,2019-02-25 19:00:00,2019-02-25 19:00:00,4.8,0.0,0.0,25.9,0,0
2019-03-10,19:00,Besiktas,Konyaspor,3.0,2.0,H,20.0,4.0,12.0,3.0,14.0,20.0,2.0,3.0,0.0,0.0,1819,2019-03-10 19:00:00,3.0,2.0,5.0,2019-03-10 19:00:00,2019-03-10 19:00:00,10.9,0.0,0.0,8.0,0,0
2019-03-16,19:00,Besiktas,Goztep,1.0,0.0,H,6.0,13.0,1.0,5.0,20.0,13.0,0.0,2.0,0.0,0.0,1819,2019-03-16 19:00:00,1.0,0.0,1.0,2019-03-16 19:00:00,2019-03-16 19:00:00,10.1,0.0,0.0,20.0,0,0
2019-04-13,19:00,Besiktas,Buyuksehyr,2.0,1.0,H,15.0,13.0,6.0,5.0,16.0,18.0,2.0,2.0,0.0,0.0,1819,2019-04-13 19:00:00,2.0,1.0,3.0,2019-04-13 19:00:00,2019-04-13 19:00:00,14.8,0.0,0.0,3.4,0,0
2019-04-28,19:00,Besiktas,Ankaragucu,4.0,1.0,H,10.0,15.0,5.0,8.0,15.0,18.0,2.0,3.0,0.0,0.0,1819,2019-04-28 19:00:00,4.0,1.0,5.0,2019-04-28 19:00:00,2019-04-28 19:00:00,18.5,0.0,0.0,5.2,0,0
2019-05-13,19:00,Besiktas,Alanyaspor,2.0,1.0,H,12.0,9.0,4.0,3.0,17.0,20.0,2.0,1.0,0.0,0.0,1819,2019-05-13 19:00:00,2.0,1.0,3.0,2019-05-13 19:00:00,2019-05-13 19:00:00,16.1,0.0,0.0,25.3,0,0
2019-05-24,19:00,Besiktas,Kasimpasa,3.0,2.0,H,13.0,16.0,4.0,6.0,12.0,10.0,3.0,0.0,1.0,0.0,1819,2019-05-24 19:00:00,3.0,2.0,5.0,2019-05-24 19:00:00,2019-05-24 19:00:00,18.0,0.0,0.0,13.0,0,0
2019-08-23,18:30,Besiktas,Goztep,3.0,0.0,H,8.0,12.0,4.0,3.0,19.0,9.0,1.0,1.0,0.0,0.0,1920,2019-08-23 18:30:00,3.0,0.0,3.0,2019-08-23 18:00:00,2019-08-23 18:00:00,26.4,0.0,0.0,28.8,0,0
2019-08-31,19:45,Besiktas,Rizespor,1.0,1.0,D,20.0,6.0,4.0,2.0,16.0,10.0,5.0,1.0,0.0,0.0,1920,2019-08-31 19:45:00,1.0,1.0,2.0,2019-08-31 19:00:00,2019-08-31 19:00:00,23.5,0.0,0.0,22.3,0,0
2019-09-23,18:00,Besiktas,Buyuksehyr,1.0,1.0,D,8.0,11.0,2.0,7.0,9.0,18.0,4.0,5.0,0.0,0.0,1920,2019-09-23 18:00:00,1.0,1.0,2.0,2019-09-23 18:00:00,2019-09-23 18:00:00,20.9,0.0,0.0,1.6,0,0
2019-10-06,14:30,Besiktas,Alanyaspor,2.0,0.0,H,7.0,14.0,4.0,3.0,11.0,11.0,3.0,4.0,0.0,0.0,1920,2019-10-06 14:30:00,2.0,0.0,2.0,2019-10-06 14:00:00,2019-10-06 14:00:00,18.2,0.0,0.0,10.3,0,0
2019-10-27,16:00,Besiktas,Galatasaray,1.0,0.0,H,13.0,14.0,7.0,2.0,11.0,15.0,2.0,3.0,0.0,0.0,1920,2019-10-27 16:00:00,1.0,0.0,1.0,2019-10-27 16:00:00,2019-10-27 16:00:00,18.8,0.0,0.0,16.6,0,0
2019-11-10,16:00,Besiktas,Denizlispor,1.0,0.0,H,12.0,8.0,7.0,3.0,13.0,18.0,2.0,2.0,0.0,0.0,1920,2019-11-10 16:00:00,1.0,0.0,1.0,2019-11-10 16:00:00,2019-11-10 16:00:00,21.7,0.0,0.0,3.6,0,0
2019-12-02,17:00,Besiktas,Kayserispor,4.0,1.0,H,24.0,7.0,13.0,3.0,12.0,10.0,2.0,1.0,0.0,0.0,1920,2019-12-02 17:00:00,4.0,1.0,5.0,2019-12-02 17:00:00,2019-12-02 17:00:00,9.2,0.0,0.0,5.5,0,0
2019-12-15,16:00,Besiktas,Yeni Malatyaspor,0.0,2.0,A,12.0,4.0,1.0,3.0,11.0,12.0,6.0,3.0,1.0,0.0,1920,2019-12-15 16:00:00,0.0,2.0,2.0,2019-12-15 16:00:00,2019-12-15 16:00:00,12.1,0.0,0.0,3.9,0,0
2019-12-27,17:30,Besiktas,Genclerbirligi,4.0,1.0,H,17.0,4.0,6.0,3.0,12.0,9.0,2.0,4.0,0.0,2.0,1920,2019-12-27 17:30:00,4.0,1.0,5.0,2019-12-27 17:00:00,2019-12-27 17:00:00,6.4,0.7,0.7,5.1,1,0
2020-01-19,16:00,Besiktas,Sivasspor,1.0,2.0,A,12.0,9.0,7.0,5.0,5.0,21.0,2.0,6.0,0.0,1.0,1920,2020-01-19 16:00:00,1.0,2.0,3.0,2020-01-19 16:00:00,2020-01-19 16:00:00,6.4,0.1,0.1,15.1,1,0
2020-02-08,14:00,Besiktas,Gaziantep,3.0,0.0,H,17.0,11.0,8.0,2.0,14.0,13.0,3.0,2.0,0.0,0.0,1920,2020-02-08 14:00:00,3.0,0.0,3.0,2020-02-08 14:00:00,2020-02-08 14:00:00,1.3,0.2,0.0,28.7,1,0
2020-02-22,17:00,Besiktas,Trabzonspor,2.0,2.0,D,29.0,9.0,9.0,3.0,12.0,17.0,2.0,2.0,0.0,0.0,1920,2020-02-22 17:00:00,2.0,2.0,4.0,2020-02-22 17:00:00,2020-02-22 17:00:00,7.1,0.0,0.0,26.8,0,0
2020-03-06,17:00,Besiktas,Ankaragucu,2.0,1.0,H,12.0,12.0,2.0,5.0,14.0,17.0,3.0,5.0,0.0,0.0,1920,2020-03-06 17:00:00,2.0,1.0,3.0,2020-03-06 17:00:00,2020-03-06 17:00:00,12.9,0.0,0.0,7.1,0,0
2020-06-13,19:00,Besiktas,Antalyaspor,1.0,2.0,A,25.0,11.0,6.0,4.0,12.0,13.0,3.0,3.0,0.0,0.0,1920,2020-06-13 19:00:00,1.0,2.0,3.0,2020-06-13 19:00:00,2020-06-13 19:00:00,22.0,0.0,0.0,10.2,0,0
2020-06-26,19:00,Besiktas,Konyaspor,3.0,0.0,H,15.0,4.0,4.0,2.0,14.0,6.0,3.0,0.0,0.0,1.0,1920,2020-06-26 19:00:00,3.0,0.0,3.0,2020-06-26 19:00:00,2020-06-26 19:00:00,23.8,0.0,0.0,23.7,0,0
2020-07-09,19:00,Besiktas,Kasimpasa,3.0,2.0,H,16.0,14.0,6.0,4.0,12.0,14.0,3.0,1.0,0.0,0.0,1920,2020-07-09 19:00:00,3.0,2.0,5.0,2020-07-09 19:00:00,2020-07-09 19:00:00,24.2,0.0,0.0,27.8,0,0
